2024-03-09 12:50:21,989 INFO    StreamThr :873157 [internal.py:wandb_internal():87] W&B internal server running at pid: 873157, started at: 2024-03-09 12:50:21.988786
2024-03-09 12:50:21,989 DEBUG   HandlerThread:873157 [handler.py:handle_request():144] handle_request: status
2024-03-09 12:50:21,990 INFO    WriterThread:873157 [datastore.py:open_for_write():85] open: /home/haddocksmack/Documents/WGU/D501 - ML DevOps/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240309_125021-u8bgodio/run-u8bgodio.wandb
2024-03-09 12:50:21,991 DEBUG   SenderThread:873157 [sender.py:send():334] send: header
2024-03-09 12:50:21,996 DEBUG   SenderThread:873157 [sender.py:send():334] send: run
2024-03-09 12:50:22,551 INFO    SenderThread:873157 [dir_watcher.py:__init__():216] watching files in: /home/haddocksmack/Documents/WGU/D501 - ML DevOps/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240309_125021-u8bgodio/files
2024-03-09 12:50:22,551 INFO    SenderThread:873157 [sender.py:_start_run_threads():1065] run started: u8bgodio with start time 1710006621.988297
2024-03-09 12:50:22,551 DEBUG   SenderThread:873157 [sender.py:send_request():361] send_request: summary_record
2024-03-09 12:50:22,551 INFO    SenderThread:873157 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-03-09 12:50:22,552 DEBUG   HandlerThread:873157 [handler.py:handle_request():144] handle_request: check_version
2024-03-09 12:50:22,552 DEBUG   SenderThread:873157 [sender.py:send_request():361] send_request: check_version
2024-03-09 12:50:22,702 DEBUG   HandlerThread:873157 [handler.py:handle_request():144] handle_request: run_start
2024-03-09 12:50:22,706 DEBUG   HandlerThread:873157 [system_info.py:__init__():31] System info init
2024-03-09 12:50:22,706 DEBUG   HandlerThread:873157 [system_info.py:__init__():46] System info init done
2024-03-09 12:50:22,706 INFO    HandlerThread:873157 [system_monitor.py:start():151] Starting system monitor
2024-03-09 12:50:22,706 INFO    SystemMonitor:873157 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-03-09 12:50:22,707 INFO    HandlerThread:873157 [system_monitor.py:probe():172] Collecting system info
2024-03-09 12:50:22,707 INFO    SystemMonitor:873157 [interfaces.py:start():168] Started cpu
2024-03-09 12:50:22,707 INFO    SystemMonitor:873157 [interfaces.py:start():168] Started disk
2024-03-09 12:50:22,708 INFO    SystemMonitor:873157 [interfaces.py:start():168] Started gpu
2024-03-09 12:50:22,708 INFO    SystemMonitor:873157 [interfaces.py:start():168] Started memory
